original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,Label
18,70,49325038,1.712288457,23,3.02009331,103,15.32340241,47.9941349,52,-21,124,10.70248901,51.75587375,-0.642734882,42066612.03,0.3605980482,375.2334836,4
25,70,91905783,1.60842937,24,2.884198782,128,13.97518436,46.2392394,45,-19,147,10.18343817,49.3696933,0.2916349919,78381387.5,0.385044842,299.2993561,6
14,80,25283750,2.181590109,35,12.59838171,493,20.95355431,47.94792671,48,-43,536,14.55918899,55.20601156,0.8267237749,19774452.48,0.2626797174,748.7000367,1
136.4,529.4,77201747,4.410983875,184,4.302322158,832,125.0011785,293.750365,245,47,785,80.25953765,335.7130922,1.294875195,60379582.83,0.05924023656,26414.00338,7
27,83,38365403,1.902903308,28,3.058925901,130,17.16979863,56.62091754,58,-32,162,12.01541031,60.61761351,-0.3206516426,22502507.78,0.3141216716,468.5667648,1
3,66,53316217,2.094233987,34,4.585142282,136,19.87417279,35.04804815,36,-231,367,14.10673676,43.06963298,-0.3483538537,33690562.4,0.2731743852,626.6276058,1
21,72,534349362,1.817491549,26,3.214017169,152,15.91166808,46.1954398,46,-48,200,11.19935201,50.37600001,0.0617497199,337655811.6,0.3327564612,403.7227182,3
14,57.2,1326705,1.616966888,24,2.925935672,89,13.63525659,35.20253165,35,-19,108,9.919248987,39.07304835,0.00826861922,838346.0063,0.3729443125,287.4848728,4
25,78,85013332,1.856556647,27,3.210562559,149,16.40108324,51.46825541,52,-51,200,11.56011293,55.48843181,-0.08524306597,53719996.05,0.3228913914,429.9847498,6
25,79,387212999,1.867681814,30,3.04713791,200,17.22969513,50.89397897,50,-28,228,12.62323119,55.10801431,0.3658702694,180944795.1,0.3163134742,446.6961468,1
20,65,79267887,1.650483356,24,3.318719956,119,14.25787618,40.78564984,38,-24,143,9.936183322,44.57089025,0.5775141987,37041916.49,0.3806377841,323.0950244,3
64,277.4,33751921,2.668889018,28,13.41539097,878,69.65178748,124.9417947,88,6,872,26.06021405,165.1826382,2.940945305,15772286.69,0.2820113334,11674.85191,6
49,111,97508359,2.081292321,31,3.457800928,169,19.20727302,78.83145675,78,-53,222,13.23585818,82.57870933,0.07771163556,83159516.43,0.282678289,604.8446612,1
42,87,83661860,1.683636861,23,4.024045343,140,14.15730924,65.18616759,66,-32,172,9.708178594,67.7123711,-0.4415634011,71350598.99,0.3732194023,335.7287548,6
35,91,456217183,1.915294738,29,3.571520853,143,17.33591772,64.38734162,67,-107,250,11.94940253,68.0848928,-0.5505122109,214290343.3,0.3130726269,489.8228675,1
35,89,16170403,1.887041981,28,3.90136596,172,16.74686212,62.42772224,64,-23,195,11.44639824,66.09991169,-0.287905629,7595420.206,0.3245099563,471.977821,6
30,68,35724437,1.507038609,19,4.750918612,112,11.96996506,49.15636174,50,-65,177,8.173428064,51.58717251,-0.4035617484,31584019.41,0.4094099227,244.8884682,1
20,58,99757864,1.480804253,20,3.407930482,120,12.11676727,38.25127184,37,-16,136,8.514446557,41.19880708,0.3491736394,88196052.26,0.4297114378,234.181907,3
40,78,21683994,1.432688365,18,3.326151814,121,11.51324541,58.46161582,58,11,110,8.030677084,60.28760269,0.3224079117,19170846.2,0.4384737897,216.8345139,4
33,71,6952430,1.493088988,20.5,5.227740839,152,12.14215112,51.70289551,51,8,144,8.477251597,54.01399393,0.6168471804,6146652.054,0.4116913252,244.322136,6
15,56,4720806,1.580363676,21,3.577389337,95,13.03788879,36.1465373,36,-38,133,9.220235981,39.74157908,-0.1763337376,3076100.794,0.40136629,272.820949,1
4,53,27624068,1.797226922,26,4.346045605,137,15.58099096,28.39792964,29,-102,239,10.89263818,34.80931223,-0.239271811,17999980.83,0.34472675,405.2458103,2
-5,64,8443696,2.14410179,33,3.519301379,104,21.15914098,33.59381215,38,-78,182,14.24860268,43.1973398,-0.7685694437,5501954.532,0.2738887336,737.4659507,6
7,56,26724944,1.79383319,25,4.019778462,125,15.42179851,31.85929489,32,-74,199,10.64764656,37.58454641,-0.2229472374,23627556.4,0.348668183,397.5834581,1
21,57,36834795,1.356815569,19,3.210377163,98,11.03931019,38.80561834,38,-38,136,7.955505039,41.22014412,0.1348964534,32565688.3,0.4720379882,193.2242666,3
33,71,62910097,1.454558519,20,3.0171356,110,11.96536771,52.32802713,53,-11,121,8.485654239,54.43202577,-0.07961548849,55618895.4,0.4182144311,224.6230062,4
14,60,19056330,1.737951122,25,4.298947928,114,14.70153913,36.79766187,38,-63,177,10.21449909,41.39684458,-0.4768685511,16847725.17,0.3590158053,359.6308219,6
50.4,106,1351495,1.952074052,27,4.260660756,136,17.48816181,77.99512195,80,-18,154,12.22753665,81.19518789,-0.5548934319,1194858.419,0.2948483046,509.4194884,7
15,68,146842280,1.849324865,29,2.827692952,151,16.85070667,39.76746287,38,-68,219,12.23994192,44.83328764,0.258583036,129823443.3,0.3171232179,428.5725776,1
11,51,5992761,1.479504643,21,3.017112617,87,12.32078821,30.98980815,31,-21,108,8.926090541,34.60627291,0.1687286526,5298207.491,0.4167775292,237.2259153,6
36,89,176224163,1.894121359,27,3.931547258,170,16.54772622,63.27248088,64,-48,218,11.33610537,66.8121053,-0.1272178256,119324905.3,0.3265455845,460.4505781,1
