original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,Label
6,59,33088167,1.965857482,27,135.6209111,146,17.71164006,30.8645151,32,-801,947,11.43926889,41.97814578,-6.752693668,29253289.8,0.317859784,809.5464305,Benign
16,72,18960869,1.963865455,29,4.072281986,132,17.88911477,40.79187876,38,-102,234,12.26680553,46.83513105,0.146645722,11121142.2,0.313344996,529.5521275,Benign
8,49,36011985,1.68819415,20,7.145412418,227,13.73809778,27.9767538,27,-61,288,8.66499637,33.8408159,0.720465458,31838240.95,0.378872863,362.5020673,Benign
20,74,45065195,1.993806185,28,12.39672456,265,18.80264475,46.46646576,43,-166,431,11.97227959,53.75439943,2.023546586,35245545.34,0.317841459,730.4030175,Benign
16,80,62479825,2.044841219,31,7.01778417,317,19.91652467,44.27793599,39,-43,360,13.32611572,51.53314242,1.343552955,55238491.38,0.297612624,695.1291527,Benign
5,77,44288145,2.30191863,36,3.934994508,184,22.53140336,40.05914756,39,-102,286,15.15025892,49.64157364,0.022101287,39155204.35,0.246717821,859.5505301,Benign
-16,42,49145957,2.112340541,28,5.758323813,136,19.23794899,11.69977341,12,-146,282,11.95194022,29.15621507,-0.571931963,43450002.02,0.298718037,713.2001793,Benign
19,81,110252705,2.15209302,31,5.757958885,243,19.92052534,48.73314055,48,-112,355,12.95202696,55.63650775,0.120582876,97474554.31,0.280405074,720.5020074,Benign
3,70,34021008,2.262241128,31,5.370743158,139,21.79891559,32.47482432,32,-123,262,13.45419916,44.44978099,-0.413085549,29579395.3,0.269308119,921.1688156,Benign
6,74,38642407,2.063534475,31,5.060884417,183,21.5133448,33.25703964,25,-63,246,13.76450106,43.73016988,1.327445165,22664979.28,0.30618591,806.2970721,Benign
33,92,137436823,2.010735837,30,3.266798182,148,18.37032481,63.40294293,64,-42,190,12.77342508,67.56550468,-0.176771875,119493758.6,0.293555871,545.1642496,Malignant
29,85,443036898,1.968306708,25,7.126044762,338,18.00190003,59.82912035,64,-120,458,11.15763618,64.8492175,-1.162603955,391689475.3,0.328397642,625.897368,Malignant
20,80,835414922,1.971145781,32,3.033099848,202,18.68933108,47.21137543,44,-87,289,13.31004834,52.61821491,0.539538132,633705033.4,0.299622113,539.7625704,Malignant
45,99,181170219,1.942013789,26,3.995790436,169,17.04781364,71.1811897,70,-53,222,11.33729032,74.60957989,0.158797865,154510115.4,0.318160242,499.8276447,Malignant
27,82,804722125,1.877634174,27,4.412586644,325,17.22968771,51.39564805,48,-88,413,11.6946026,56.03875676,0.768750807,711455836.6,0.335598744,498.8296208,Malignant
39,109,337403270,2.336756082,36,168.1734312,1402,27.00416538,79.32175731,75,-41,1443,15.1406442,106.6587259,11.49636873,219853657.7,0.247070518,5084.142637,Malignant
20,80,21429271,2.028114321,33,2.955523058,117,19.17195461,51.20217197,53,-57,174,13.6912002,56.46176427,-0.322684781,16255200.3,0.286451137,566.2684094,Malignant
13,79,280621995,2.122665973,37,8.914993753,483,21.20137463,42.8729443,39,-65,548,15.27158605,50.35583748,0.920558492,208516524.2,0.264365033,697.6210148,Malignant
17,56,324631399,1.515778538,19,6.057064659,232,12.19000592,35.72556371,35,-110,342,8.306512864,39.22726218,0.386658238,287007025.6,0.435920512,262.4621953,Malignant
26,80,647426997,1.915455134,28,4.14153567,190,16.94063695,52.17576738,51,-81,271,11.71705897,56.5879757,0.048582614,572391017.3,0.318328375,479.8882925,Malignant
61,114,479306356,1.852982837,29,3.971884661,158,16.69113697,88.69441121,91,-63,221,11.922348,91.16652136,-0.60781726,376764153.3,0.3217478,444.6360368,Malignant
5,86,96165841,2.428737838,48,3.464282085,137,27.09542378,47.89920283,53,-121,258,19.65647839,58.37050379,-0.699481259,85020340.24,0.214935717,1112.782081,Malignant
31,79,213647134,1.81141374,25,5.568042356,276,15.58232435,55.31337254,56,-71,347,10.3997483,58.99433782,-0.293224576,188885698.2,0.347603405,420.7627128,Malignant
32,107,2770170192,2.287670085,41,2.779471218,238,23.37306602,69.48672816,68,-61,299,16.90661763,75.22792725,0.226346868,2101316062,0.233657067,830.835648,Malignant
27,72,368274423,1.664567829,24,4.04015929,230,14.07776827,49.20998244,49,-72,302,9.946345674,52.34320307,-0.082375983,325591877.7,0.368385782,318.1885359,Malignant
12,70,61866162,2.008468089,30,3.696876656,181,18.32932987,40.19587268,39,-68,249,12.75298972,46.51783668,0.217076633,54695951.16,0.296563136,548.2009483,Malignant
24,81,358005957,1.947073512,32,3.882708141,285,18.10365772,54.37819488,57,-103,388,12.90008907,58.88409345,-0.31007343,316513514.1,0.302122624,510.3483828,Malignant
42,90,239619842,1.761700257,25,3.6251657,148,15.12193124,65.22440702,64,-47,195,10.48678582,68.03210636,0.034493702,192655551.1,0.353353418,374.1442254,Malignant
30,76,298656901,1.694538413,26,14.90653919,339,15.07885849,51.96652811,50,-30,369,10.51204497,55.77903791,1.864417679,175171605.5,0.36574979,410.7810259,Malignant
-21,50,4917356,2.273550706,35,3.603830728,105,22.09464391,13.61034695,13,-127,232,14.75448361,31.77289303,-0.201046464,4234458.186,0.251488654,824.2751875,Malignant
10,66,508610225,1.923352335,31,4.766617927,170,17.7303861,39.16453851,40,-387,557,12.8762655,44.94478855,-0.193859773,355711819.2,0.30268117,486.1729406,Malignant
37,96,399382245,2.075296628,31,5.172532069,300,19.10554538,67.5513351,69,-101,401,12.72442733,72.09050907,-0.458607296,310779793.2,0.290117324,633.8586233,Malignant
15,86,63703876,2.282346418,36,3.696822595,170,22.42367382,51.39931369,53,-120,290,15.44219124,58.90584873,-0.281100642,56320676.4,0.247431135,828.0095665,Malignant
28,89,138386761,2.069822167,32,3.620701755,167,19.27026115,58.99094716,60,-85,252,13.36705492,63.88083298,-0.351933695,122347908.4,0.282193445,600.8289756,Malignant
24,90,133464469,2.162309141,34,3.781283337,149,20.76179445,57.79185616,60,-89,238,14.3783093,63.61277448,-0.508802665,102805178,0.266079984,706.6864378,Malignant
15,68,152835041,1.836771251,29,2.865491329,151,16.64094619,39.20476819,37,-68,219,12.12129835,44.24864512,0.284113618,135121650.8,0.320792591,420.928746,Malignant
18,64,146877661,1.712965263,24,3.963747014,136,14.55127305,40.7385997,41,-74,210,10.14406732,44.80772542,-0.281229882,129854723.7,0.364428562,348.0987512,Malignant
40,84,436050082,1.664940821,23,3.558726924,153,13.94289465,61.49404051,61,-32,185,9.505521549,64.04710607,0.106110932,314000209.1,0.38087802,320.5147786,Malignant
24,77,62390298,1.902314449,27,4.037901743,196,16.67314326,50.63555124,51,-43,239,11.3999491,55.04658189,-0.025469952,36593859.47,0.320533829,466.1671285,Malignant
25,75,24244584,1.800196483,27,3.148949315,117,15.71563659,50.24500602,50,-34,151,10.95876649,54.01406422,-0.079142847,21434667.02,0.336420591,392.9585039,Malignant
38,96,102997687,2.120605301,27,10.52779225,311,20.01539603,67.58800211,65,-59,370,11.74268648,73.78246661,1.84418791,91060383.82,0.302824226,875.7143487,Malignant
27,81,133854644,1.887747106,29,7.099072955,279,17.54704095,52.13913169,49,-16,295,12.3586644,56.85165764,1.176445642,362542626.2,0.324432999,513.6219231,Malignant
11,76,8885518,2.219495303,32.25,13.08827603,291,21.96680125,42.24274905,38,-61,352,13.79389097,52.92669632,2.116507855,7855697.571,0.271918616,1016.785335,Malignant
22,97,104446643,2.305899596,40,3.847854977,139,23.56213384,61.11606351,64,-96,235,16.51292067,68.0602014,-0.698043397,84815374.21,0.238328583,897.0177959,Malignant
31,92,447365840,2.014652293,31,3.257579151,154,18.86426235,63.34151781,66,-74,228,13.26573623,67.6521982,-0.474692462,395516698.4,0.289531838,564.6720424,Malignant
21,91,751594920,2.238982468,37,3.735966202,269,22.08797979,56.33802134,56,-55,324,15.55492442,62.92035909,0.419319234,476270668.9,0.249698956,784.9989386,Malignant
22,107,70472985,2.436818694,44,4.030933345,152,27.02983415,69.1963211,76,-107,259,18.69546973,77.29039804,-0.925024069,62305254.13,0.223068502,1185.674775,Malignant
27,83,561246386,1.947175834,30,3.424696888,158,17.59767405,54.36785429,53,-59,217,12.34024614,58.76743472,0.10424575,496198631.4,0.306344358,497.7478043,Malignant
19,71,25792478,1.924278832,26,12.00110918,352,16.71425571,46.03668212,46,-64,416,10.92169729,51.55238529,0.873957493,22803162.04,0.32591108,538.2723278,Malignant
26,94,399294029,2.254880089,34,8.076017775,425,21.69890508,59.96395284,61,-305,730,14.46816544,66.64113867,-0.232775903,353016350.2,0.258371903,845.3657232,Malignant
32,94,21547901,2.010997446,33,2.642149507,147,19.2180519,63.97301382,65,-11,158,14.00452334,68.20531365,-0.159180447,17934748.96,0.280695455,559.4183132,Malignant
25,66,351669370,1.556379317,21,3.634996683,202,12.83598715,44.92173845,44,-32,234,8.821739649,47.83687871,0.26415481,235541110.6,0.405798348,270.404379,Malignant
44,102,106743444,2.08761069,27,6.848208073,294,18.82490587,74.07886965,74,-54,348,11.77268413,78.62071891,0.595332331,94372012.27,0.300514665,693.5385129,Malignant
37,95,149515729,1.993529547,31,3.365229345,186,18.30974117,67.21963833,69,-66,252,12.81257297,71.08985928,-0.175967875,132187042.9,0.295326226,535.2883147,Malignant
32,86,211695371,1.892706469,28,3.847142183,141,16.95657299,60.10473051,62,-88,229,11.69588573,63.88110797,-0.536787846,187160142.1,0.318833818,468.2173259,Malignant
23,82,1122437551,1.991604254,30,3.472207416,167,18.23174432,51.19711653,50,-118,285,12.91801354,56.15941705,0.0217762,992348441.9,0.296581495,532.7353821,Malignant
31,84,168809909,1.875167728,26,4.134653914,215,16.40552502,57.83845946,58,-96,311,11.30892493,61.60647253,-0.100609508,149245051.6,0.330034636,450.0700646,Malignant
31,82,651269082,1.831234911,25,4.212457235,313,15.91058275,54.62595524,53,-69,382,10.83007041,58.38542373,0.431154909,468979680,0.334690529,424.8627181,Malignant
45,94,107091241,1.800651608,25,4.770382054,137,15.44582266,69.98071967,71,-60,197,10.34340697,72.85501317,-0.5966958,62812359.45,0.342479283,410.551819,Malignant
48,97,2149510573,1.718998693,25,3.075736657,236,15.06260125,73.86218278,76,-42,278,10.79583306,76.22700257,-0.373082666,1900384984,0.354328198,354.9338761,Malignant
11,88,49790329,2.401620834,35,5.510580278,280,24.01577224,51.08729045,53,-153,433,15.38288237,60.63831559,-0.382434742,44019692.11,0.240188252,1067.094072,Malignant
10,79,180086782,2.205839445,35,4.029084632,140,21.84234685,47.61302708,51,-122,262,14.8405113,55.31251574,-0.792887463,144732907.6,0.262238015,792.47405,Malignant
31,86,1091939400,1.891423666,29,3.33404544,179,17.13099047,57.74124903,56,-26,205,12.10402736,61.64858907,0.477893482,965384988.5,0.315301948,466.496695,Malignant
23,77,500232807,1.871155395,30,80.92955328,878,17.47349709,49.04541573,47,-28,906,12.56539254,54.46320734,4.003973654,233758998.3,0.319940477,560.7881498,Malignant
0,83,217419426,2.485898391,44,3.941686795,194,26.72820285,44.78838077,49,-166,360,18.26890994,56.40629482,-0.654560831,152058798.2,0.215965401,1175.671044,Malignant
16,98,102485497,2.686014104,38,29.84145712,832,41.64866033,66.69580225,50,-43,875,16.21118026,106.8240053,4.577655253,80154035.31,0.225535862,6963.038073,Malignant
20,69,232690555,1.788963849,27,10.85590365,160,15.65601572,43.57155963,43,-428,588,11.06096337,47.9109359,-0.210197481,178325024.6,0.343409635,396.9769696,Malignant
35,91,472387586,1.915067201,29,3.578993314,172,17.31927096,64.31632034,66,-107,279,11.94965111,68.0139641,-0.54096319,221885763.5,0.313328216,489.3102511,Malignant
29,80,1442674328,1.837669279,25,4.506449915,239,15.87818134,55.04033393,56,-227,466,10.86445587,58.81223735,-0.305700094,1128317395,0.340313935,429.4409028,Malignant
20,67,82931208,1.762746777,24,5.366674948,208,15.03345074,43.82606522,44,-65,273,10.33609798,47.99496529,0.039472402,73319584.66,0.351352501,382.792701,Malignant
20,87,82190788,2.187033183,33,3.868093721,198,20.7955719,53.0421591,52,-78,276,14.22131945,59.43232392,0.253933497,72664978.41,0.261504055,718.7304844,Malignant
15,63,227627959,1.726456954,25,3.109061135,152,14.95042967,38.7549705,38,-61,213,10.64710789,43.04086955,0.247673174,201246163.1,0.352733127,350.5687133,Malignant
22,88,85372355,2.080138833,39,2.234907707,130,21.060499,54.54974883,54,-32,162,15.9569775,60.03233928,0.066322868,301911223.1,0.259566112,628.2066622,Malignant
17,97,182066729,2.427849289,39,3.718429755,254,24.73388401,56.66622393,56,-61,315,16.65478148,65.13444793,0.284260735,160965422.7,0.225755282,1031.435372,Malignant
28,1078,1759939505,3.434174717,47,5.036476931,1434,287.9183564,234.940119,66,-50,1484,128.7775613,457.7298414,1.925578217,1555964716,0.179723158,154319.7482,Malignant
20,70,194327706,1.786922276,26,3.17894568,132,15.50214308,44.84123091,44,-46,178,10.89346153,48.93750591,0.053461061,113979272.3,0.341275777,384.1434945,Malignant
22,67,63968733,1.665739085,24,3.075371444,110,14.17867653,44.59438923,45,-70,180,10.03539575,47.99672161,-0.018315206,56554836.81,0.366566995,315.0257349,Malignant
48,100,205731388,2.011198429,27,31.12611009,566,18.97254293,75.02048131,72,-47,613,11.24621341,81.14077755,3.564516015,120667888.2,0.321664843,955.7531647,Malignant
