model,k,accuracy,fmeasure,precision,recall,roc
rf,54,0.9875,0.9875661375661376,0.9886363636363636,0.9875,0.9949999999999999
rf,55,0.9791666666666667,0.9792910792910794,0.9816919191919192,0.9791666666666667,0.9971428571428571
rf,56,0.9916666666666668,0.991710758377425,0.9924242424242424,0.9916666666666668,0.9964285714285716
rf,57,0.9833333333333334,0.9833018049593972,0.9846464646464647,0.9833333333333334,0.9982142857142857
rf,58,0.9833333333333334,0.9833616608571237,0.9847474747474749,0.9833333333333334,0.9967857142857144
rf,59,0.9791666666666667,0.9791713674956263,0.981489898989899,0.9791666666666667,0.9982142857142857
rf,60,0.9916666666666668,0.991710758377425,0.9924242424242424,0.9916666666666668,0.9967857142857142
rf,61,0.9750000000000002,0.9750866025820655,0.9778030303030303,0.9750000000000002,0.9989285714285714
rf,62,0.9833333333333334,0.9833616608571237,0.9847474747474747,0.9833333333333334,0.9996428571428572
rf,63,0.9833333333333334,0.9833616608571237,0.9847474747474747,0.9833333333333334,0.9989285714285714
rf,64,0.975,0.9749086157283374,0.9762121212121212,0.975,0.9964285714285713
rf,65,0.9708333333333334,0.970896309220568,0.9731565656565657,0.9708333333333334,0.9932142857142857
rf,66,0.9875000000000002,0.987506281668411,0.9885353535353534,0.9875000000000002,0.9982142857142857
rf,67,0.9833333333333334,0.9833018049593972,0.9846464646464644,0.9833333333333334,0.9996428571428572
rf,68,0.9916666666666666,0.9917249417249417,0.9930555555555556,0.9916666666666666,0.9978571428571428
rf,69,0.9749999999999999,0.9749313649313649,0.9788194444444445,0.9749999999999999,1.0
rf,70,0.975,0.9750872632466836,0.9782634032634032,0.975,0.9971428571428571
rf,71,0.975,0.9748431423386051,0.9774558080808081,0.975,0.9957142857142858
rf,72,0.9833333333333334,0.9833175691463651,0.983989898989899,0.9833333333333334,0.9985714285714286
rf,73,0.9710000000000001,0.9709859996554764,0.9739520202020202,0.9710000000000001,0.9978571428571428
rf,74,0.9833333333333334,0.9833758442046403,0.9853787878787881,0.9833333333333334,0.9982142857142857
rf,75,0.975,0.9747832864408787,0.9773547979797981,0.975,0.9978571428571428
rf,76,0.9708333333333334,0.9708978900600196,0.9732575757575759,0.9708333333333334,0.9914285714285714
rf,77,0.9708333333333334,0.970941981770778,0.9740151515151515,0.9708333333333334,0.9946428571428572
rf,78,0.9833333333333334,0.9833774250440918,0.9840909090909091,0.9833333333333334,0.9957142857142858
rf,79,0.9583333333333334,0.9583584991782208,0.9623232323232322,0.9583333333333334,0.9939285714285715
rf,80,0.9708333333333332,0.9706528489771079,0.9741982323232324,0.9708333333333332,0.9992857142857143
rf,81,0.9708333333333334,0.9706883748323556,0.9722390572390573,0.9708333333333334,0.9982142857142857
rf,82,0.9583333333333333,0.9583600800176721,0.9610353535353534,0.9583333333333333,0.9975000000000002
rf,83,0.9833333333333334,0.9833758442046403,0.9853787878787879,0.9833333333333334,0.9971428571428571
rf,84,0.9791666666666667,0.9792328042328042,0.9803030303030302,0.9791666666666667,0.9957142857142858
rf,85,0.9750000000000002,0.9750283275237903,0.9764141414141413,0.9750000000000002,0.9978571428571428
rf,86,0.975,0.9750425108713069,0.9770454545454544,0.975,0.9935714285714287
rf,87,0.9750000000000002,0.975026746684339,0.9777020202020201,0.9750000000000002,0.9953571428571429
rf,88,0.9708333333333334,0.9708537983492611,0.9724999999999999,0.9708333333333334,0.9953571428571429
rf,89,0.9875,0.9875661375661376,0.9886363636363636,0.9875,0.9957142857142858
rf,90,0.9791666666666667,0.9792312233933528,0.9815909090909092,0.9791666666666667,0.9985714285714286
rf,91,0.9833333333333334,0.9833175691463654,0.9839898989898991,0.9833333333333334,0.9942857142857143
rf,92,0.9875,0.9875803209136542,0.9892676767676768,0.9875,0.9996428571428572
rf,93,0.9709999999999999,0.9711198947984461,0.9747853535353534,0.9709999999999999,0.9925
rf,94,0.975,0.9751007859295819,0.9784343434343434,0.975,0.9978571428571428
rf,95,0.9833333333333334,0.9834357001023667,0.9854797979797981,0.9833333333333334,1.0
